origin,destination,minutes,observations,source
161,161,8.15,321,observed_od_median
161,162,7.633333333333333,306,observed_od_median
161,163,9.05,447,observed_od_median
161,164,9.716666666666667,680,observed_od_median
161,170,9.233333333333333,715,observed_od_median
161,233,8.975,522,observed_od_median
162,161,8.558333333333334,258,observed_od_median
162,162,6.1,169,observed_od_median
162,163,9.8,299,observed_od_median
162,164,10.908333333333333,414,observed_od_median
162,170,8.416666666666668,400,observed_od_median
162,233,6.966666666666667,301,observed_od_median
163,161,9.033333333333333,419,observed_od_median
163,162,9.125,328,observed_od_median
163,163,6.316666666666666,221,observed_od_median
163,164,13.866666666666667,391,observed_od_median
163,170,12.341666666666667,350,observed_od_median
163,233,11.358333333333334,242,observed_od_median
164,161,10.958333333333332,404,observed_od_median
164,162,10.149999999999999,164,observed_od_median
164,163,14.125,292,observed_od_median
164,164,6.608333333333333,202,observed_od_median
164,170,7.1416666666666675,364,observed_od_median
164,233,8.775,298,observed_od_median
170,161,9.808333333333334,240,observed_od_median
170,162,7.55,209,observed_od_median
170,163,13.5,210,observed_od_median
170,164,7.616666666666666,311,observed_od_median
170,170,5.616666666666666,228,observed_od_median
170,233,6.166666666666667,207,observed_od_median
233,161,10.55,202,observed_od_median
233,162,6.733333333333333,134,observed_od_median
233,163,13.516666666666667,133,observed_od_median
233,164,10.625,216,observed_od_median
233,170,6.633333333333333,198,observed_od_median
233,233,5.733333333333333,85,observed_od_median
