id,arrival,origin,destination
0,0.1951288316686659,1,3
1,3.2199242991709225,0,2
2,4.63357151157643,1,4
3,5.854580820561082,2,4
4,7.993667955306934,1,3
5,9.458971454022697,0,4
6,10.37775548548516,2,4
7,12.1277963315317,0,3
8,18.13956553954376,4,4
9,30.409149325854735,1,1
10,31.04932387853099,1,3
11,31.99004845316832,3,4
12,33.31525529822716,0,4
13,34.01038947380343,0,3
14,35.366093988004,1,1
15,36.452165122686715,2,4
16,37.491192199688406,4,3
17,38.329144224345995,4,3
18,39.45188988854974,0,2
19,39.664369863939456,0,4
20,43.016395955943935,0,4
21,43.99324881033047,1,2
22,47.333042560140406,1,3
23,48.30805519689433,4,5
24,49.52166815851341,1,4
25,50.08725408954582,2,3
26,51.09002286452922,3,3
27,51.6264384513227,0,0
28,53.26655464541608,1,3
29,54.405024968836955,1,5
30,54.86849335646725,1,3
31,57.56033591552515,2,4
32,61.218832061864674,4,1
33,65.04444516241625,1,2
34,67.4098423473915,4,1
35,72.579226479174,5,4
36,73.58274337943391,1,0
37,74.64427210065585,1,2
38,75.4594366741501,4,0
39,75.45976589265806,4,5
40,75.59318021630145,4,0
41,77.08612804787563,4,5
42,78.78467956425227,4,0
43,79.36324208802229,4,3
44,83.9700795352706,4,2
45,84.19295528644808,3,1
46,89.08020727207061,4,1
47,89.21591798170554,4,5
48,91.56957675942705,5,1
49,92.38664585601644,4,1
50,92.72360499402265,0,0
51,96.0885460596132,0,1
52,96.7593641459809,4,0
53,97.85804370662535,3,1
54,98.46510308343746,2,5
55,99.76931918958203,4,0
56,100.89726498716642,3,1
57,102.30011055765777,4,0
58,103.08383629020359,3,5
59,103.15505430540226,4,4
60,104.07990529290848,4,0
61,105.98935144664632,4,0
62,107.1507169869737,4,1
63,111.97688140983001,2,4
64,112.73726525365933,3,1
65,112.8633035002726,3,1
66,113.33371825280288,4,3
67,114.16049475607217,4,1
68,115.17262081996306,2,3
69,117.62359247764283,4,4
70,118.02836138805795,5,4
71,119.62459613334299,3,3
72,122.53805571096974,1,5
73,123.20542136024898,0,4
74,124.51220391689995,1,1
75,126.44885806337376,1,4
76,126.82016905089242,0,3
77,128.0683723643088,0,3
78,132.83503973409069,0,4
79,135.0249262384957,2,2
80,136.55490497352872,1,3
81,139.3493790974624,0,3
82,139.81440314331846,0,3
83,143.32719192008688,2,3
84,143.35111541255657,0,0
85,143.5530714900441,1,4
86,147.78477842642474,0,4
87,149.2226167162754,1,4
88,153.20239998367447,0,2
89,154.1580039218852,5,5
90,155.94237219974443,3,4
91,159.901606218324,0,5
92,160.57937594251726,2,3
93,160.6162186920443,1,3
94,165.50372019969126,2,2
95,167.75073341784065,0,5
96,168.95262356183815,0,4
97,170.92028106704748,0,4
98,171.11394888451306,0,3
99,172.71982810814052,1,0
100,174.04759937509826,0,3
101,174.46840564688927,0,2
102,174.6742044198418,1,4
103,178.8714881829974,1,3
104,179.32431369065293,0,0
105,179.82294925309392,1,3
