request_id,arrival,origin,destination,status,driver_id,dispatch,pickup,completion,wait,pickup_travel,observed_epochs,epochs_no_idle,epochs_idle_but_unreachable,epochs_feasible,expiry_observation
0,0.1951288316686659,1,3,served,0,1.0,3.0,14.0,2.804871168331334,2.0,1,0,0,1,
1,3.2199242991709225,0,2,served,1,4.0,6.0,14.0,2.7800757008290775,2.0,1,0,0,1,
2,4.63357151157643,1,4,served,7,5.0,7.0,15.0,2.36642848842357,2.0,1,0,0,1,
3,5.854580820561082,2,4,served,2,6.0,8.0,19.0,2.1454191794389184,2.0,1,0,0,1,
4,7.993667955306934,1,3,served,4,8.0,13.0,24.0,5.006332044693066,5.0,1,0,0,1,
5,9.458971454022697,0,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
6,10.37775548548516,2,4,served,1,14.0,16.0,27.0,5.62224451451484,2.0,4,0,3,1,
7,12.1277963315317,0,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
8,18.13956553954376,4,4,served,2,19.0,21.0,23.0,2.86043446045624,2.0,1,0,0,1,
9,30.409149325854735,1,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
10,31.04932387853099,1,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
11,31.99004845316832,3,4,served,0,32.0,34.0,39.0,2.0099515468316795,2.0,1,0,0,1,
12,33.31525529822716,0,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
13,34.01038947380343,0,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
14,35.366093988004,1,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
15,36.452165122686715,2,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
16,37.491192199688406,4,3,served,1,38.0,40.0,45.0,2.508807800311594,2.0,1,0,0,1,
17,38.329144224345995,4,3,served,0,39.0,41.0,46.0,2.6708557756540046,2.0,1,0,0,1,
18,39.45188988854974,0,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
19,39.664369863939456,0,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
20,43.016395955943935,0,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
21,43.99324881033047,1,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
22,47.333042560140406,1,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
23,48.30805519689433,4,5,served,2,49.0,51.0,56.0,2.6919448031056703,2.0,1,0,0,1,
24,49.52166815851341,1,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
25,50.08725408954582,2,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
26,51.09002286452922,3,3,served,0,52.0,54.0,56.0,2.9099771354707826,2.0,1,0,0,1,
27,51.6264384513227,0,0,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
28,53.26655464541608,1,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
29,54.405024968836955,1,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
30,54.86849335646725,1,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
31,57.56033591552515,2,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
32,61.218832061864674,4,1,served,6,62.0,64.0,72.0,2.781167938135326,2.0,1,0,0,1,
33,65.04444516241625,1,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
34,67.4098423473915,4,1,served,7,68.0,70.0,78.0,2.5901576526084966,2.0,1,0,0,1,
35,72.579226479174,5,4,served,2,73.0,75.0,80.0,2.4207735208260033,2.0,1,0,0,1,
36,73.58274337943391,1,0,served,6,74.0,76.0,81.0,2.417256620566093,2.0,1,0,0,1,
37,74.64427210065585,1,2,served,7,78.0,80.0,85.0,5.355727899344146,2.0,4,0,3,1,
38,75.4594366741501,4,0,served,0,76.0,81.0,92.0,5.540563325849902,5.0,1,0,0,1,
39,75.45976589265806,4,5,served,1,76.0,81.0,86.0,5.540234107341945,5.0,1,0,0,1,
40,75.59318021630145,4,0,served,3,76.0,81.0,92.0,5.406819783698552,5.0,1,0,0,1,
41,77.08612804787563,4,5,served,4,78.0,83.0,88.0,5.913871952124367,5.0,1,0,0,1,
42,78.78467956425227,4,0,served,5,79.0,84.0,95.0,5.215320435747728,5.0,1,0,0,1,
43,79.36324208802229,4,3,served,2,80.0,82.0,87.0,2.6367579119777105,2.0,1,0,0,1,
44,83.9700795352706,4,2,served,1,86.0,91.0,102.0,7.0299204647294005,5.0,3,0,2,1,
45,84.19295528644808,3,1,served,2,87.0,89.0,100.0,4.807044713551917,2.0,3,0,2,1,
46,89.08020727207061,4,1,served,4,90.0,95.0,103.0,5.919792727929391,5.0,1,0,0,1,
47,89.21591798170554,4,5,expired,,,,,,,8,0,7,1,feasible_at_least_once_but_unserved
48,91.56957675942705,5,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
49,92.38664585601644,4,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
50,92.72360499402265,0,0,served,0,93.0,95.0,97.0,2.2763950059773492,2.0,1,0,0,1,
51,96.0885460596132,0,1,served,0,97.0,99.0,104.0,2.9114539403868065,2.0,1,0,0,1,
52,96.7593641459809,4,0,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
53,97.85804370662535,3,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
54,98.46510308343746,2,5,served,7,99.0,101.0,109.0,2.534896916562545,2.0,1,0,0,1,
55,99.76931918958203,4,0,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
56,100.89726498716642,3,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
57,102.30011055765777,4,0,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
58,103.08383629020359,3,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
59,103.15505430540226,4,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
60,104.07990529290848,4,0,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
61,105.98935144664632,4,0,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
62,107.1507169869737,4,1,served,7,109.0,114.0,122.0,6.8492830130262945,5.0,2,0,1,1,
63,111.97688140983001,2,4,served,1,112.0,114.0,125.0,2.023118590169986,2.0,1,0,0,1,
64,112.73726525365933,3,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
65,112.8633035002726,3,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
66,113.33371825280288,4,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
67,114.16049475607217,4,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
68,115.17262081996306,2,3,served,0,116.0,121.0,135.0,5.827379180036942,5.0,1,0,0,1,
69,117.62359247764283,4,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
70,118.02836138805795,5,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
71,119.62459613334299,3,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
72,122.53805571096974,1,5,served,2,123.0,125.0,136.0,2.4619442890302565,2.0,1,0,0,1,
73,123.20542136024898,0,4,served,3,124.0,126.0,137.0,2.7945786397510233,2.0,1,0,0,1,
74,124.51220391689995,1,1,served,4,125.0,127.0,129.0,2.4877960831000507,2.0,1,0,0,1,
75,126.44885806337376,1,4,served,7,127.0,129.0,137.0,2.5511419366262373,2.0,1,0,0,1,
76,126.82016905089242,0,3,served,5,127.0,129.0,137.0,2.1798309491075827,2.0,1,0,0,1,
77,128.0683723643088,0,3,served,6,129.0,131.0,139.0,2.9316276356912,2.0,1,0,0,1,
78,132.83503973409069,0,4,served,4,133.0,138.0,149.0,5.164960265909315,5.0,1,0,0,1,
79,135.0249262384957,2,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
80,136.55490497352872,1,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
81,139.3493790974624,0,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
82,139.81440314331846,0,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
83,143.32719192008688,2,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
84,143.35111541255657,0,0,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
85,143.5530714900441,1,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
86,147.78477842642474,0,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
87,149.2226167162754,1,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
88,153.20239998367447,0,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
89,154.1580039218852,5,5,served,2,155.0,157.0,159.0,2.8419960781147893,2.0,1,0,0,1,
90,155.94237219974443,3,4,served,0,156.0,158.0,163.0,2.057627800255574,2.0,1,0,0,1,
91,159.901606218324,0,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
92,160.57937594251726,2,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
93,160.6162186920443,1,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
94,165.50372019969126,2,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
95,167.75073341784065,0,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
96,168.95262356183815,0,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
97,170.92028106704748,0,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
98,171.11394888451306,0,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
99,172.71982810814052,1,0,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
100,174.04759937509826,0,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
101,174.46840564688927,0,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
102,174.6742044198418,1,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
103,178.8714881829974,1,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
104,179.32431369065293,0,0,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
105,179.82294925309392,1,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
