request_id,arrival,origin,destination,status,driver_id,dispatch,pickup,completion,wait,pickup_travel,observed_epochs,epochs_no_idle,epochs_idle_but_unreachable,epochs_feasible,expiry_observation
0,0.67488028545031,0,0,served,7,1.0,3.0,5.0,2.32511971454969,2.0,1,0,0,1,
1,1.367008330858141,5,4,served,4,2.0,7.0,12.0,5.632991669141859,5.0,1,0,0,1,
2,1.6868915166230825,1,3,served,0,2.0,4.0,15.0,2.3131084833769178,2.0,1,0,0,1,
3,1.6877468697499245,4,4,served,3,2.0,4.0,6.0,2.3122531302500757,2.0,1,0,0,1,
4,2.9269762208220786,2,5,served,5,3.0,5.0,13.0,2.0730237791779214,2.0,1,0,0,1,
5,2.9484942123313775,0,4,served,1,3.0,8.0,19.0,5.0515057876686225,5.0,1,0,0,1,
6,3.485528315912844,5,2,served,3,6.0,11.0,19.0,7.514471684087156,5.0,3,0,2,1,
7,4.3124420509355135,1,5,served,2,5.0,7.0,18.0,2.6875579490644865,2.0,1,0,0,1,
8,5.282660963745088,0,4,served,7,6.0,8.0,19.0,2.717339036254912,2.0,1,0,0,1,
9,6.098266041342972,0,4,expired,,,,,,,8,1,7,0,mixed_no_idle_and_unreachable
10,6.759711403157969,5,4,expired,,,,,,,8,1,7,0,mixed_no_idle_and_unreachable
11,7.475546014541356,0,0,expired,,,,,,,8,1,7,0,mixed_no_idle_and_unreachable
12,9.440190950297023,1,4,served,6,10.0,15.0,23.0,5.559809049702977,5.0,1,0,0,1,
13,9.97309020363118,0,4,expired,,,,,,,8,1,7,0,mixed_no_idle_and_unreachable
14,10.286173276850805,2,3,expired,,,,,,,8,1,7,0,mixed_no_idle_and_unreachable
15,11.936218882442397,2,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
16,13.911232037474708,1,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
17,14.271408709815207,4,3,served,4,15.0,17.0,22.0,2.7285912901847933,2.0,1,0,0,1,
18,15.026696205960727,4,4,served,0,16.0,21.0,23.0,5.973303794039273,5.0,1,0,0,1,
19,16.718946976128862,2,4,served,3,19.0,21.0,32.0,4.281053023871138,2.0,3,0,2,1,
20,19.093284322212146,1,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
21,22.15794051033414,0,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
22,23.517746905470066,1,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
23,25.103727803320737,1,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
24,25.504683332436116,3,0,served,4,26.0,28.0,36.0,2.495316667563884,2.0,1,0,0,1,
25,28.22385993816114,2,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
26,28.629927137568416,0,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
27,28.64040588302921,4,1,served,0,29.0,31.0,39.0,2.35959411697079,2.0,1,0,0,1,
28,31.165187292791167,0,5,served,4,36.0,38.0,52.0,6.834812707208833,2.0,5,0,4,1,
29,33.1883181778052,4,4,served,1,34.0,36.0,38.0,2.8116818221947995,2.0,1,0,0,1,
30,36.43651518905061,5,5,served,2,37.0,39.0,41.0,2.56348481094939,2.0,1,0,0,1,
31,39.01465296477318,0,2,served,0,40.0,45.0,53.0,5.985347035226823,5.0,1,0,0,1,
32,42.08026907128643,5,3,served,2,43.0,45.0,53.0,2.9197309287135695,2.0,1,0,0,1,
33,42.104963015062744,0,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
34,42.36419920435002,0,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
35,43.516673297619306,5,4,served,5,44.0,46.0,51.0,2.483326702380694,2.0,1,0,0,1,
36,45.6932469809757,2,0,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
37,45.96309775024492,2,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
38,46.0355498372707,0,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
39,49.646584246653255,1,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
40,56.40151637321568,0,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
41,58.68359971362679,0,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
42,59.95432966209968,0,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
43,60.01535127267285,5,0,served,4,61.0,63.0,77.0,2.984648727327148,2.0,1,0,0,1,
44,60.52779408484728,4,2,served,1,61.0,63.0,74.0,2.4722059151527205,2.0,1,0,0,1,
45,61.88241734130423,4,5,served,3,62.0,64.0,69.0,2.117582658695767,2.0,1,0,0,1,
46,64.32357358666064,4,1,served,5,65.0,67.0,75.0,2.6764264133393567,2.0,1,0,0,1,
47,65.81063774444259,4,0,served,6,66.0,68.0,79.0,2.1893622555574126,2.0,1,0,0,1,
48,66.46018449356103,3,1,served,2,67.0,69.0,80.0,2.53981550643897,2.0,1,0,0,1,
49,69.0630858934754,1,1,served,0,70.0,75.0,77.0,5.936914106524597,5.0,1,0,0,1,
50,69.76033100932669,4,2,served,7,70.0,72.0,83.0,2.2396689906733087,2.0,1,0,0,1,
51,70.4260615493196,0,0,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
52,74.12119353411734,4,5,served,3,75.0,80.0,85.0,5.878806465882661,5.0,1,0,0,1,
53,74.93201454150798,4,3,expired,,,,,,,8,0,7,1,feasible_at_least_once_but_unserved
54,75.86159827531343,5,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
55,76.35442234276431,4,0,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
56,82.47560072202903,3,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
57,83.15711826656474,4,0,served,3,85.0,90.0,101.0,6.842881733435263,5.0,2,0,1,1,
58,84.21180697920285,1,1,served,0,85.0,87.0,89.0,2.788193020797152,2.0,1,0,0,1,
59,84.71472686203967,3,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
60,87.1157450321008,4,0,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
61,88.24518546280343,5,0,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
62,88.85300824954267,4,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
63,90.1196640779461,4,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
64,95.05545895734679,0,2,served,4,96.0,98.0,106.0,2.9445410426532135,2.0,1,0,0,1,
65,96.06570457652148,4,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
66,96.43642788758156,0,5,served,6,97.0,99.0,113.0,2.5635721124184414,2.0,1,0,0,1,
67,97.8585199602002,4,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
68,98.20113642738889,4,0,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
69,103.18045246608278,4,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
70,104.56792475947815,4,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
71,107.70715359299918,4,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
72,107.91433707737804,4,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
73,108.69201141596628,1,3,served,0,109.0,111.0,122.0,2.3079885840337226,2.0,1,0,0,1,
74,108.77824861074748,2,0,served,1,109.0,111.0,119.0,2.2217513892525176,2.0,1,0,0,1,
75,108.88534727413919,3,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
76,111.12836714140349,1,1,served,2,112.0,114.0,116.0,2.871632858596513,2.0,1,0,0,1,
77,111.55680496414799,4,0,served,6,113.0,118.0,129.0,6.443195035852014,5.0,2,0,1,1,
78,114.90419287837989,1,2,served,5,115.0,117.0,122.0,2.095807121620112,2.0,1,0,0,1,
79,115.23696816903092,4,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
80,116.39284229914486,3,0,served,0,122.0,124.0,132.0,7.60715770085514,2.0,6,0,5,1,
81,117.55818489453564,3,0,expired,,,,,,,8,0,7,1,feasible_at_least_once_but_unserved
82,117.63833426894568,2,1,served,4,118.0,120.0,125.0,2.361665731054316,2.0,1,0,0,1,
83,121.60892878987428,1,4,served,2,122.0,124.0,132.0,2.391071210125716,2.0,1,0,0,1,
84,121.76682085505645,0,1,served,1,122.0,124.0,129.0,2.2331791449435485,2.0,1,0,0,1,
85,122.52608138399943,5,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
86,122.69991852379454,1,2,served,3,123.0,128.0,133.0,5.300081476205463,5.0,1,0,0,1,
87,126.65493120210733,3,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
88,127.18310038892852,5,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
89,129.44385729243487,1,0,served,1,130.0,132.0,137.0,2.5561427075651295,2.0,1,0,0,1,
90,129.81653509879516,0,4,served,6,130.0,132.0,143.0,2.183464901204843,2.0,1,0,0,1,
91,130.45111577405908,0,3,served,4,131.0,136.0,144.0,5.548884225940924,5.0,1,0,0,1,
92,131.70719252291408,0,3,served,0,132.0,134.0,142.0,2.2928074770859155,2.0,1,0,0,1,
93,132.99492896789556,0,4,served,1,137.0,139.0,150.0,6.005071032104439,2.0,5,0,4,1,
94,133.19786212269375,0,5,expired,,,,,,,8,0,7,1,feasible_at_least_once_but_unserved
95,133.7405292134357,0,3,expired,,,,,,,8,0,7,1,feasible_at_least_once_but_unserved
96,134.1974085057704,1,3,served,3,135.0,140.0,151.0,5.802591494229603,5.0,1,0,0,1,
97,134.41102321315617,1,2,served,5,135.0,140.0,145.0,5.58897678684383,5.0,1,0,0,1,
98,135.58221558374186,0,3,expired,,,,,,,8,0,7,1,feasible_at_least_once_but_unserved
99,140.4060420430964,5,0,served,2,141.0,146.0,160.0,5.593957956903608,5.0,1,0,0,1,
100,140.73878263234556,1,4,served,7,141.0,146.0,154.0,5.261217367654439,5.0,1,0,0,1,
101,142.12537883527114,0,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
102,142.55876925309192,1,4,served,5,145.0,150.0,158.0,7.441230746908076,5.0,3,0,2,1,
103,145.0154551302926,0,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
104,146.64457965012056,1,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
105,154.18514074596624,1,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
106,155.43179278293678,0,3,served,2,160.0,162.0,170.0,6.568207217063218,2.0,5,0,4,1,
107,156.3066916822733,0,4,expired,,,,,,,8,0,7,1,feasible_at_least_once_but_unserved
108,158.86528830968126,3,5,served,0,159.0,161.0,169.0,2.1347116903187384,2.0,1,0,0,1,
109,159.06876291154168,1,3,expired,,,,,,,8,0,7,1,feasible_at_least_once_but_unserved
110,159.50575268558157,0,4,expired,,,,,,,8,0,7,1,feasible_at_least_once_but_unserved
111,160.8648019216198,0,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
112,160.97741311083422,0,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
113,162.42078822399256,3,3,served,3,163.0,165.0,167.0,2.5792117760074404,2.0,1,0,0,1,
114,163.37423665227394,3,0,served,4,164.0,166.0,174.0,2.625763347726064,2.0,1,0,0,1,
115,163.76052703130162,0,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
116,164.35559933193605,0,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
117,169.83482308105155,0,0,served,4,174.0,176.0,178.0,6.165176918948447,2.0,5,0,4,1,
118,172.11965996592437,1,5,expired,,,,,,,8,0,7,1,feasible_at_least_once_but_unserved
119,172.27762476577124,1,3,expired,,,,,,,8,0,7,1,feasible_at_least_once_but_unserved
120,173.019605820338,0,4,served,4,178.0,180.0,191.0,6.9803941796619995,2.0,5,0,3,2,
121,174.00287550787849,1,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
122,175.64755842700907,1,4,expired,,,,,,,8,0,7,1,feasible_at_least_once_but_unserved
123,175.86479855414728,1,0,expired,,,,,,,8,0,7,1,feasible_at_least_once_but_unserved
124,178.86793236364113,0,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
125,179.9440102069893,2,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
