time,idle_drivers,pending_requests,feasible_pairs,baseline_matches,evaluated_candidates,candidates_with_different_future_count,candidates_with_higher_future_count,baseline_future_count,selected_future_count,accepted_improvements,changed_from_same_state_baseline,score_gain
1,8,1,3,1,2,0,0,5.5,5.5,0,False,0.0
6,7,1,1,1,0,0,0,5,5,0,False,0.0
7,6,1,0,0,0,0,0,,,0,False,0.0
8,6,1,0,0,0,0,0,,,0,False,0.0
9,6,2,2,1,1,0,0,7,7,0,False,0.0
10,5,1,0,0,0,0,0,,,0,False,0.0
11,5,2,0,0,0,0,0,,,0,False,0.0
12,5,3,0,0,0,0,0,,,0,False,0.0
13,5,4,0,0,0,0,0,,,0,False,0.0
14,5,5,1,1,0,0,0,7.5,7.5,0,False,0.0
15,4,3,0,0,0,0,0,,,0,False,0.0
16,4,4,1,1,0,0,0,5,5,0,False,0.0
17,3,3,0,0,0,0,0,,,0,False,0.0
18,3,3,0,0,0,0,0,,,0,False,0.0
19,3,3,0,0,0,0,0,,,0,False,0.0
20,3,2,0,0,0,0,0,,,0,False,0.0
21,4,1,0,0,0,0,0,,,0,False,0.0
22,5,3,2,1,1,0,0,6.5,6.5,0,False,0.0
23,4,3,0,0,0,0,0,,,0,False,0.0
24,4,3,0,0,0,0,0,,,0,False,0.0
25,5,3,0,0,0,0,0,,,0,False,0.0
26,5,4,1,1,0,0,0,6.5,6.5,0,False,0.0
27,4,2,0,0,0,0,0,,,0,False,0.0
28,5,3,1,1,0,0,0,5,5,0,False,0.0
29,4,2,0,0,0,0,0,,,0,False,0.0
30,5,1,0,0,0,0,0,,,0,False,0.0
33,5,1,1,1,0,0,0,4.5,4.5,0,False,0.0
35,4,2,0,0,0,0,0,,,0,False,0.0
36,4,3,0,0,0,0,0,,,0,False,0.0
37,4,3,0,0,0,0,0,,,0,False,0.0
38,5,4,1,1,0,0,0,3,3,0,False,0.0
39,5,3,0,0,0,0,0,,,0,False,0.0
40,5,4,3,1,2,0,0,4.5,4.5,0,False,0.0
41,4,4,0,0,0,0,0,,,0,False,0.0
42,4,5,0,0,0,0,0,,,0,False,0.0
43,4,3,0,0,0,0,0,,,0,False,0.0
44,4,2,0,0,0,0,0,,,0,False,0.0
45,5,2,0,0,0,0,0,,,0,False,0.0
46,5,3,1,1,0,0,0,5.5,5.5,0,False,0.0
47,4,3,0,0,0,0,0,,,0,False,0.0
48,4,6,0,0,0,0,0,,,0,False,0.0
49,4,5,0,0,0,0,0,,,0,False,0.0
50,4,5,0,0,0,0,0,,,0,False,0.0
51,4,5,0,0,0,0,0,,,0,False,0.0
52,4,5,0,0,0,0,0,,,0,False,0.0
53,5,6,3,1,2,0,0,4.5,4.5,0,False,0.0
54,4,5,0,0,0,0,0,,,0,False,0.0
55,5,4,0,0,0,0,0,,,0,False,0.0
56,6,2,3,1,2,0,0,5,5,0,False,0.0
57,5,1,0,0,0,0,0,,,0,False,0.0
60,6,1,1,1,0,0,0,6,6,0,False,0.0
61,5,1,3,1,4,3,3,4,4.5,1,True,3.4666666666666686
64,4,1,2,1,2,1,1,4.5,5,1,True,3.4666666666666686
65,3,1,0,0,0,0,0,,,0,False,0.0
66,3,1,0,0,0,0,0,,,0,False,0.0
67,3,3,0,0,0,0,0,,,0,False,0.0
68,3,5,3,2,1,0,0,6,6,0,False,0.0
69,2,3,0,0,0,0,0,,,0,False,0.0
70,2,3,0,0,0,0,0,,,0,False,0.0
71,2,3,0,0,0,0,0,,,0,False,0.0
72,2,3,0,0,0,0,0,,,0,False,0.0
73,2,2,0,0,0,0,0,,,0,False,0.0
74,2,2,0,0,0,0,0,,,0,False,0.0
77,4,1,0,0,0,0,0,,,0,False,0.0
78,5,3,1,1,0,0,0,5.5,5.5,0,False,0.0
79,4,2,0,0,0,0,0,,,0,False,0.0
80,4,2,0,0,0,0,0,,,0,False,0.0
81,5,3,1,1,0,0,0,6,6,0,False,0.0
82,4,2,0,0,0,0,0,,,0,False,0.0
83,5,2,0,0,0,0,0,,,0,False,0.0
84,6,3,0,0,0,0,0,,,0,False,0.0
85,6,2,0,0,0,0,0,,,0,False,0.0
86,6,1,0,0,0,0,0,,,0,False,0.0
87,6,1,0,0,0,0,0,,,0,False,0.0
88,6,1,0,0,0,0,0,,,0,False,0.0
89,6,2,0,0,0,0,0,,,0,False,0.0
90,6,2,0,0,0,0,0,,,0,False,0.0
91,6,2,0,0,0,0,0,,,0,False,0.0
92,7,1,0,0,0,0,0,,,0,False,0.0
93,7,1,0,0,0,0,0,,,0,False,0.0
94,7,3,1,1,0,0,0,4.5,4.5,0,False,0.0
95,6,3,3,1,2,0,0,3.5,3.5,0,False,0.0
96,5,2,0,0,0,0,0,,,0,False,0.0
97,5,2,0,0,0,0,0,,,0,False,0.0
98,5,2,0,0,0,0,0,,,0,False,0.0
99,5,2,0,0,0,0,0,,,0,False,0.0
100,5,3,0,0,0,0,0,,,0,False,0.0
101,6,3,0,0,0,0,0,,,0,False,0.0
102,6,2,0,0,0,0,0,,,0,False,0.0
103,6,2,0,0,0,0,0,,,0,False,0.0
104,6,3,0,0,0,0,0,,,0,False,0.0
105,6,2,0,0,0,0,0,,,0,False,0.0
106,6,2,0,0,0,0,0,,,0,False,0.0
107,7,3,2,1,1,0,0,2.5,2.5,0,False,0.0
108,7,1,0,0,0,0,0,,,0,False,0.0
109,7,1,0,0,0,0,0,,,0,False,0.0
110,7,3,1,1,0,0,0,1.5,1.5,0,False,0.0
111,6,2,0,0,0,0,0,,,0,False,0.0
112,6,2,0,0,0,0,0,,,0,False,0.0
113,6,2,0,0,0,0,0,,,0,False,0.0
114,6,2,0,0,0,0,0,,,0,False,0.0
115,6,2,0,0,0,0,0,,,0,False,0.0
116,6,3,0,0,0,0,0,,,0,False,0.0
117,6,4,0,0,0,0,0,,,0,False,0.0
118,6,3,0,0,0,0,0,,,0,False,0.0
119,6,3,0,0,0,0,0,,,0,False,0.0
120,6,2,0,0,0,0,0,,,0,False,0.0
121,6,2,0,0,0,0,0,,,0,False,0.0
122,6,2,0,0,0,0,0,,,0,False,0.0
123,7,2,0,0,0,0,0,,,0,False,0.0
124,7,1,0,0,0,0,0,,,0,False,0.0
