request_id,arrival,origin,destination,status,driver_id,dispatch,pickup,completion,wait,pickup_travel,observed_epochs,epochs_no_idle,epochs_idle_but_unreachable,epochs_feasible,expiry_observation
9523270,0.2999999999999545,163,164,served,1,1,7.316666666666666,21.183333333333334,7.016666666666712,6.316666666666666,1,0,0,1,
9515203,5.133333333333439,170,164,served,0,6,12.633333333333333,20.25,7.499999999999893,6.633333333333333,1,0,0,1,
9497428,6.4833333333333485,161,163,served,3,7,15.15,24.200000000000003,8.666666666666652,8.15,1,0,0,1,
9495466,8.599999999999909,162,163,served,5,9,15.1,24.9,6.500000000000091,6.1,1,0,0,1,
9520550,10.5,161,164,served,6,11,19.558333333333334,29.275000000000002,9.058333333333334,8.558333333333334,1,0,0,1,
9500003,11.86666666666656,161,233,served,7,12,22.958333333333332,31.93333333333333,11.091666666666772,10.958333333333332,1,0,0,1,
9488311,12.983333333333348,161,170,served,2,13,22.03333333333333,31.266666666666666,9.049999999999983,9.033333333333331,1,0,0,1,
9506894,13.416666666666742,162,233,served,4,14,23.125,30.09166666666667,9.708333333333258,9.125,1,0,0,1,
9520832,15.849999999999909,164,170,served,0,21,27.608333333333334,34.75,11.758333333333425,6.608333333333333,6,5,0,1,
9512351,18.48333333333335,161,161,expired,,,,,,,12,4,8,0,mixed_no_idle_and_unreachable
9492599,21.716666666666697,164,233,served,1,22,28.608333333333334,37.38333333333333,6.891666666666637,6.608333333333333,1,0,0,1,
9494098,21.833333333333258,161,161,expired,,,,,,,12,2,9,1,feasible_at_least_once_but_unserved
9490636,22.40000000000009,233,161,expired,,,,,,,12,2,10,0,mixed_no_idle_and_unreachable
9501825,25.84999999999991,170,170,served,6,30,37.141666666666666,42.75833333333333,11.291666666666757,7.1416666666666675,5,0,4,1,
9496231,27.533333333333303,170,161,served,4,31,37.63333333333333,47.44166666666666,10.10000000000003,6.633333333333333,4,0,2,2,
9495172,32.38333333333344,170,163,served,2,33,38.61666666666667,52.11666666666667,6.233333333333228,5.616666666666666,1,0,0,1,
9504355,34.84999999999991,161,170,served,5,35,44.03333333333333,53.266666666666666,9.183333333333422,9.033333333333331,1,0,0,1,
9511861,34.84999999999991,161,164,served,3,35,44.03333333333333,53.75,9.183333333333422,9.033333333333331,1,0,0,1,
9499036,35.48333333333335,164,161,served,0,36,43.61666666666667,54.575,8.133333333333319,7.616666666666666,1,0,0,1,
9514410,37.36666666666656,162,163,served,1,38,44.733333333333334,54.53333333333333,7.366666666666774,6.733333333333333,1,0,0,1,
9502968,39.63333333333344,163,162,expired,,,,,,,12,8,4,0,mixed_no_idle_and_unreachable
9493534,40.5,164,162,served,7,41,51.625,61.775,11.125,10.625,1,0,0,1,
9486550,41.48333333333335,164,163,served,6,43,50.61666666666667,64.74166666666667,9.133333333333319,7.616666666666666,2,1,0,1,
9486058,45.83333333333326,170,233,expired,,,,,,,12,6,5,1,feasible_at_least_once_but_unserved
9511487,46.5333333333333,162,163,served,4,48,55.63333333333333,65.43333333333334,9.10000000000003,7.633333333333333,2,1,0,1,
9509887,47.09999999999991,170,163,expired,,,,,,,12,4,7,1,feasible_at_least_once_but_unserved
9506860,47.15000000000009,162,163,expired,,,,,,,12,4,7,1,feasible_at_least_once_but_unserved
9496281,47.36666666666656,161,162,expired,,,,,,,12,4,7,1,feasible_at_least_once_but_unserved
9521461,49.09999999999991,162,161,expired,,,,,,,12,3,9,0,mixed_no_idle_and_unreachable
9541195,52.86666666666656,163,161,served,2,53,59.31666666666666,68.35,6.450000000000102,6.316666666666666,1,0,0,1,
9508014,55.2833333333333,163,164,served,1,56,62.31666666666666,76.18333333333334,7.03333333333336,6.316666666666666,1,0,0,1,
9561473,59.15000000000009,170,161,served,5,60,65.61666666666666,75.425,6.466666666666569,5.616666666666666,1,0,0,1,
9539096,60.65000000000009,162,170,served,0,61,68.63333333333333,77.05,7.983333333333235,7.633333333333333,1,0,0,1,
9541986,63.683333333333394,162,161,served,7,64,70.1,78.65833333333333,6.4166666666666,6.1,1,0,0,1,
9528863,64.40000000000009,161,163,served,6,65,74.03333333333333,83.08333333333333,9.63333333333324,9.033333333333331,1,0,0,1,
9532468,66.84999999999991,170,170,served,3,67,74.14166666666667,79.75833333333333,7.291666666666757,7.1416666666666675,1,0,0,1,
9542856,66.9666666666667,170,161,expired,,,,,,,12,6,4,2,feasible_at_least_once_but_unserved
9541997,67.40000000000009,162,170,served,2,69,76.63333333333333,85.05,9.233333333333235,7.633333333333333,2,0,0,2,
9545025,67.41666666666674,163,162,served,4,68,74.31666666666666,83.44166666666666,6.89999999999992,6.316666666666666,1,0,0,1,
9534485,76.9333333333334,161,164,served,5,77,85.15,94.86666666666667,8.216666666666612,8.15,1,0,0,1,
9545634,77.11666666666656,164,170,served,1,78,84.60833333333333,91.75,7.491666666666774,6.608333333333333,1,0,0,1,
9536823,77.29999999999995,161,233,served,0,78,87.80833333333334,96.78333333333333,10.508333333333383,9.808333333333334,1,0,0,1,
9555941,80.61666666666656,170,163,served,3,81,86.61666666666666,100.11666666666666,6.0000000000000995,5.616666666666666,1,0,0,1,
9540024,83.63333333333344,161,162,served,7,84,92.15,99.78333333333333,8.516666666666566,8.15,1,0,0,1,
9549228,88.79999999999995,161,162,served,4,89,97.55833333333334,105.19166666666666,8.758333333333383,8.558333333333334,1,0,0,1,
9525427,93.5666666666666,161,233,served,1,94,103.80833333333334,112.78333333333333,10.241666666666731,9.808333333333334,1,0,0,1,
9562553,93.58333333333326,163,163,served,6,94,100.31666666666666,106.63333333333333,6.733333333333405,6.316666666666666,1,0,0,1,
9531556,94.61666666666656,162,162,served,2,95,102.55,108.64999999999999,7.933333333333437,7.55,1,0,0,1,
9550352,96.13333333333344,164,164,served,5,97,103.60833333333333,110.21666666666667,7.474999999999895,6.608333333333333,1,0,0,1,
9537537,99.13333333333344,164,164,served,0,100,110.625,117.23333333333333,11.49166666666656,10.625,1,0,0,1,
9541994,103.75,161,233,served,7,104,112.55833333333334,121.53333333333333,8.808333333333337,8.558333333333334,1,0,0,1,
9548351,106.4333333333334,163,162,served,3,107,113.31666666666666,122.44166666666666,6.883333333333269,6.316666666666666,1,0,0,1,
9538268,109.38333333333344,161,233,served,2,110,118.55833333333334,127.53333333333333,9.174999999999898,8.558333333333334,1,0,0,1,
9555984,109.79999999999995,163,233,served,6,110,116.31666666666666,127.675,6.516666666666708,6.316666666666666,1,0,0,1,
9550459,111.34999999999991,164,164,served,5,112,118.60833333333333,125.21666666666667,7.258333333333425,6.608333333333333,1,0,0,1,
9543524,115.38333333333344,161,233,served,4,116,124.55833333333334,133.53333333333333,9.174999999999898,8.558333333333334,1,0,0,1,
9549455,116.51666666666665,161,162,served,1,117,127.55,135.18333333333334,11.033333333333346,10.55,1,0,0,1,
