max_wait_minutes,fleet,date,seed,service_rate_change_pp,mean_wait_change_min,idle_share_change_pp
8,8,2024-01-22,2026,0.0,0.0763157894736838,-0.1510416666666736
8,8,2024-01-22,2027,0.0,0.0690476190476188,-0.1510416666666736
8,8,2024-01-23,2026,7.042253521126768,0.0051691729323213,-8.492187500000004
8,8,2024-01-23,2027,1.4084507042253502,-0.090219298245616,-2.0546874999999853
8,8,2024-01-24,2026,4.166666666666669,-0.0330026455026501,-3.808159722222215
8,8,2024-01-24,2027,6.944444444444447,0.0823994252873543,-7.687500000000025
8,12,2024-01-22,2026,4.545454545454552,0.1185797101449281,-2.8709490740740584
8,12,2024-01-22,2027,2.2727272727272707,0.1007122507122533,-1.229745370370361
8,12,2024-01-23,2026,4.225352112676061,-0.0988095238095239,-3.237847222222223
8,12,2024-01-23,2027,5.633802816901412,-0.1349999999999998,-4.384259259259249
8,12,2024-01-24,2026,6.944444444444442,0.0687789351851941,-4.280671296296301
8,12,2024-01-24,2027,4.166666666666669,0.1169191919191936,-2.962962962962956
10,8,2024-01-22,2026,0.0,0.0,0.0
10,8,2024-01-22,2027,0.0,0.0,0.0
10,8,2024-01-23,2026,0.0,0.0,0.0
10,8,2024-01-23,2027,0.0,0.0,0.0
10,8,2024-01-24,2026,0.0,0.0,0.0
10,8,2024-01-24,2027,0.0,0.0,0.0
10,12,2024-01-22,2026,0.0,0.0,0.0
10,12,2024-01-22,2027,0.0,0.0,0.0
10,12,2024-01-23,2026,0.0,0.0,0.0
10,12,2024-01-23,2027,0.0,0.0,0.0
10,12,2024-01-24,2026,0.0,0.0,0.0
10,12,2024-01-24,2027,0.0,0.0,0.0
12,8,2024-01-22,2026,0.0,0.0,0.0
12,8,2024-01-22,2027,0.0,0.0,0.0
12,8,2024-01-23,2026,0.0,0.0,0.0
12,8,2024-01-23,2027,0.0,0.0,0.0
12,8,2024-01-24,2026,0.0,0.0,0.0
12,8,2024-01-24,2027,0.0,0.0,0.0
12,12,2024-01-22,2026,2.272727272727282,-0.0322970085470117,-1.3304398148148322
12,12,2024-01-22,2027,2.2727272727272596,-0.0324441056910593,-1.33043981481481
12,12,2024-01-23,2026,0.0,0.0,0.0
12,12,2024-01-23,2027,0.0,0.0,0.0
12,12,2024-01-24,2026,0.0,0.0,0.0
12,12,2024-01-24,2027,0.0,0.0,0.0
