request_id,arrival,origin,destination,status,driver_id,dispatch,pickup,completion,wait,pickup_travel,observed_epochs,epochs_no_idle,epochs_idle_but_unreachable,epochs_feasible,expiry_observation
0,0.1764042051585204,1,0,served,6,1.0,3.0,8.0,2.82359579484148,2.0,1,0,0,1,
1,0.7753557993751821,0,5,served,0,1.0,3.0,17.0,2.2246442006248177,2.0,1,0,0,1,
2,1.0872382563476464,0,4,served,3,2.0,4.0,15.0,2.9127617436523536,2.0,1,0,0,1,
3,1.585554496225536,1,1,served,5,2.0,7.0,9.0,5.4144455037744645,5.0,1,0,0,1,
4,3.246258475630964,0,3,served,6,8.0,10.0,18.0,6.753741524369036,2.0,5,0,4,1,
5,5.3870345471204875,4,5,served,1,6.0,11.0,16.0,5.6129654528795125,5.0,1,0,0,1,
6,6.239172586728409,0,4,served,5,9.0,14.0,25.0,7.760827413271591,5.0,3,0,1,2,
7,6.872826987056319,0,2,expired,,,,,,,8,0,6,2,feasible_at_least_once_but_unserved
8,7.803402743729366,0,4,expired,,,,,,,8,0,6,2,feasible_at_least_once_but_unserved
9,8.52370722918599,2,3,served,7,9.0,11.0,25.0,2.476292770814011,2.0,1,0,0,1,
10,11.367880543662132,2,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
11,14.396807540792986,0,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
12,15.542576836036051,0,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
13,16.365948981929307,1,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
14,16.856145515192722,0,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
15,18.313671742922345,2,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
16,18.422421826813864,0,0,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
17,18.977680311214186,1,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
18,19.122925857824267,0,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
19,20.571662838206322,0,0,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
20,20.615929330920096,1,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
21,21.723333149986146,1,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
22,22.678514636038702,2,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
23,22.99429908390828,1,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
24,23.03381028780711,1,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
25,24.602375260253503,1,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
26,25.29245593554736,1,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
27,27.65150259545858,0,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
28,29.346825095250022,0,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
29,36.01565787002818,1,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
30,40.5431093887197,0,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
31,41.358371490203105,1,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
32,43.44414307401049,1,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
33,46.209473184051106,3,2,served,2,47.0,49.0,63.0,2.790526815948894,2.0,1,0,0,1,
34,47.58366634616975,0,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
35,48.93011513535062,1,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
36,49.46267721090777,0,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
37,49.629197792919534,0,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
38,50.59491782711611,2,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
39,51.38710773352326,1,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
40,54.55339495443672,1,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
41,54.68824261367707,5,3,served,0,55.0,57.0,65.0,2.311757386322931,2.0,1,0,0,1,
42,54.79692683805881,0,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
43,56.0707926951033,1,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
44,57.54136768478817,1,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
45,60.53043668798483,3,4,served,6,61.0,63.0,68.0,2.4695633120151683,2.0,1,0,0,1,
46,62.38363171566267,3,1,served,7,63.0,65.0,76.0,2.6163682843373266,2.0,1,0,0,1,
47,66.46275032741576,4,0,served,3,67.0,69.0,80.0,2.537249672584238,2.0,1,0,0,1,
48,68.6860955243091,1,1,served,2,69.0,74.0,76.0,5.313904475690904,5.0,1,0,0,1,
49,70.55996775676961,1,0,served,2,76.0,78.0,83.0,7.440032243230391,2.0,6,0,5,1,
50,70.8737001455298,4,3,served,5,71.0,73.0,78.0,2.1262998544702043,2.0,1,0,0,1,
51,72.00362413284422,4,1,served,6,73.0,75.0,83.0,2.996375867155777,2.0,1,0,0,1,
52,76.22819609343209,4,1,served,0,77.0,82.0,90.0,5.771803906567911,5.0,1,0,0,1,
53,76.32222907353515,4,5,served,1,77.0,82.0,87.0,5.677770926464845,5.0,1,0,0,1,
54,76.60985803788522,4,2,served,4,77.0,82.0,93.0,5.390141962114782,5.0,1,0,0,1,
55,76.76055278216455,4,1,served,5,78.0,83.0,91.0,6.239447217835448,5.0,2,0,0,2,
56,77.29950815741884,4,0,expired,,,,,,,8,0,7,1,feasible_at_least_once_but_unserved
57,82.62090526312969,4,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
58,82.64746620649201,3,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
59,83.93893685841228,4,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
60,84.01841167399536,3,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
61,84.28839035855901,4,0,served,1,87.0,92.0,103.0,7.711609641440987,5.0,3,0,2,1,
62,84.74149479983879,3,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
63,86.17220882907495,3,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
64,86.7091897954804,2,5,served,6,87.0,92.0,100.0,5.290810204519602,5.0,1,0,0,1,
65,88.25100253010733,5,0,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
66,91.85583325159233,3,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
67,94.35794097102475,4,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
68,95.51443571135457,4,0,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
69,95.82198834723461,4,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
70,96.1644899394448,4,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
71,99.02371024034812,4,2,served,6,100.0,105.0,116.0,5.976289759651877,5.0,1,0,0,1,
72,99.72848852677505,1,0,served,0,100.0,102.0,107.0,2.2715114732249475,2.0,1,0,0,1,
73,100.67362559757353,4,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
74,102.68806002382244,3,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
75,107.36359217645425,4,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
76,108.38863971204316,3,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
77,109.75817133055139,4,0,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
78,113.48107457567164,3,1,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
79,115.13218495112478,3,2,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
80,120.24114556132497,0,1,served,0,121.0,123.0,128.0,2.75885443867503,2.0,1,0,0,1,
81,124.88395033981615,0,4,served,1,125.0,127.0,138.0,2.1160496601838474,2.0,1,0,0,1,
82,127.32791683052629,0,4,served,2,128.0,130.0,141.0,2.6720831694737086,2.0,1,0,0,1,
83,130.8762730607956,0,3,served,3,131.0,133.0,141.0,2.1237269392044027,2.0,1,0,0,1,
84,131.57947475800472,1,3,served,0,132.0,134.0,145.0,2.4205252419952785,2.0,1,0,0,1,
85,132.35410436508124,4,5,served,1,138.0,140.0,145.0,7.645895634918759,2.0,6,0,5,1,
86,134.2580157217164,0,2,served,5,135.0,140.0,148.0,5.74198427828361,5.0,1,0,0,1,
87,135.31825522315563,1,1,served,7,136.0,138.0,140.0,2.6817447768443685,2.0,1,0,0,1,
88,136.02577194489567,1,5,served,4,137.0,142.0,153.0,5.974228055104334,5.0,1,0,0,1,
89,138.53408539066962,1,3,served,6,139.0,144.0,155.0,5.465914609330383,5.0,1,0,0,1,
90,141.08320935641265,0,1,served,7,142.0,147.0,152.0,5.916790643587348,5.0,1,0,0,1,
91,142.3469831831305,0,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
92,144.09721464513913,0,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
93,144.2614192698215,1,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
94,155.58335829364324,0,3,served,7,156.0,161.0,169.0,5.4166417063567565,5.0,1,0,0,1,
95,158.37419701095092,1,4,served,5,159.0,164.0,172.0,5.6258029890490775,5.0,1,0,0,1,
96,160.62118595190378,0,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
97,164.02429493012843,4,3,served,2,165.0,167.0,172.0,2.975705069871566,2.0,1,0,0,1,
98,165.05465679530994,3,4,served,0,166.0,168.0,173.0,2.9453432046900616,2.0,1,0,0,1,
99,165.9284969644763,5,5,served,1,166.0,168.0,170.0,2.0715030355237047,2.0,1,0,0,1,
100,166.88657675252267,1,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
101,168.65716015136687,4,5,served,3,169.0,174.0,179.0,5.342839848633133,5.0,1,0,0,1,
102,172.5110286457757,2,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
103,172.83971716012314,1,4,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
104,173.59056551643326,1,5,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
105,174.1735867008012,5,4,served,1,175.0,177.0,182.0,2.826413299198805,2.0,1,0,0,1,
106,174.43683995701252,1,3,expired,,,,,,,8,0,8,0,idle_but_unreachable_at_every_epoch
